0039148 n000012
0822155 n000019
1093951 n000020
1175188 n000022
2212031 n000025
0244154 n000050
0664238 n000059
0735226 n000061
3257161 n000063
0946888 n000066
1789970 n000068
0015382 n000076
0664499 n000088
1246047 n000090
1169619 n000097
0291785 n000098
1857233 n000100
2636108 n000142
1631435 n000145
0706787 n000149
0291253 n000167
0737963 n000171
0435509 n000180
1002979 n000188
0005273 n000243
0316795 n000258
0005224 n000261
2066104 n000270
1322469 n001506
0000575 n000289
0005547 n000291
0654295 n000305
2088872 n000307
0790057 n000323
2539953 n000332
1395602 n000352
3333557 n000356
0532928 n000357
1775214 n000365
1351987 n000374
2319146 n000376
1468739 n000381
1119462 n000387
0776040 n000388
1720028 n000395
1555549 n000396
0005520 n000399
1760388 n000405
1399051 n000406
0142972 n000411
0009918 n000418
0010736 n000419
2625932 n000426
1492093 n000438
0493521 n000445
0785452 n000453
0478886 n000456
3006818 n000458
1048225 n000460
0177846 n000469
0000510 n000472
1627969 n000480
0662042 n000496
0511088 n000521
1494168 n000575
0004904 n000591
0438463 n000598
0001378 n000613
0193041 n000616
1715118 n000640
0001043 n000620
0439344 n000626
0240043 n000644
0005142 n000673
0661755 n000675
1156709 n000676
3687902 n000707
1476805 n000741
0659544 n000747
3812858 n000752
1736769 n000758
0444223 n000759
0002119 n000783
2965271 n000786
0005119 n000788
1249883 n000804
0002801 n000807
1008709 n000811
0864308 n000812
0000782 n000818
2201555 n000823
0851582 n000826
0004133 n000828
0957909 n000842
0445477 n000848
1933128 n000876
0546640 n000880
2064685 n000885
0940504 n000886
0000324 n000889
0005180 n000907
0001608 n000908
1289351 n000909
0000977 n000926
2444306 n000927
0829134 n000937
1602660 n000942
1229520 n000945
0005399 n000952
0791570 n000953
1212722 n000956
0384060 n000977
0005170 n000987
3633758 n000993
3396631 n001000
0726360 n001004
1132273 n001006
0000541 n001010
0435323 n001031
0005313 n001037
0974080 n001061
0002150 n001063
0004854 n001066
1128780 n001075
2062857 n001083
2620034 n001089
1865727 n001092
0000137 n001094
0182471 n001101
0247143 n001117
0001183 n001127
1353018 n001139
0707248 n001140
3010926 n001161
2343444 n001168
0746125 n001172
0005275 n001178
0441287 n001181
2647420 n001184
0834947 n001187
0185354 n001188
0270451 n001189
0584297 n001193
0191442 n001194
0875810 n001197
0004977 n001199
1145177 n001201
0006190 n001206
0005213 n001207
0974575 n001212
0887144 n001213
0263759 n001216
0355370 n001219
1355813 n001221
1426233 n001222
1847099 n001223
0488953 n001225
3127187 n001227
0001180 n001229
0020329 n001233
0199590 n001234
1868342 n001237
0004786 n001245
0486728 n001247
0627492 n001248
1479002 n001251
0339304 n001255
0001069 n001277
0005311 n001285
1466205 n001305
1817682 n001308
0719678 n001310
0001081 n001312
3399968 n001316
1026272 n001323
0124299 n001332
1754048 n001345
2458152 n001348
0396924 n001349
0094887 n001358
0651086 n001361
0005318 n001388
0775455 n001389
1054204 n001397
0000745 n001405
0001406 n001408
3089868 n001424
0614141 n001430
1398810 n001441
1820866 n001446
2336905 n001450
0005289 n001461
1382630 n001468
0123741 n001479
0948000 n001484
0090545 n001490
1248541 n001497
0511349 n001498
0005165 n001499
0451193 n001502
1475594 n001509
0004725 n001520
3083350 n001535
1083395 n001554
3034087 n001560
3432881 n001589
0202322 n001594
0362534 n001600
0001389 n001602
0441592 n001604
1919140 n001614
4178979 n001617
0132300 n001618
0588096 n001619
1019691 n001624
0132301 n001625
0576662 n001637
0023927 n001643
0000775 n001647
1634832 n001672
0001172 n001673
0557733 n001674
0005221 n001675
0634240 n001676
1101910 n001684
0500200 n001691
1733488 n001693
2946516 n001701
3241371 n001707
1740127 n001708
0160004 n001719
0186728 n001741
1641140 n001754
1130627 n001763
3491663 n001765
0819850 n001771
2959880 n001780
1269733 n001785
0000433 n001794
2066164 n001796
0670780 n001803
0005266 n001809
1085698 n001811
1630927 n001814
3794974 n001831
1317000 n001832
0001732 n001836
0702809 n001861
0004771 n001863
2851530 n001907
0000838 n001915
0319171 n001920
1082081 n001938
0022161 n001945
0084426 n001947
2141059 n001951
1566486 n001958
0093697 n001964
0245705 n001967
3333669 n001970
0001803 n001974
0005231 n001999
1176985 n002002
0152638 n002004
0342970 n002006
0005263 n002008
0153738 n002011
1044403 n002015
2924626 n002016
0004770 n002021
0123488 n002024
0004518 n002027
0299050 n002033
0472710 n002042
0909144 n002061
0507097 n002070
0213450 n002078
0558244 n002083
0000679 n002091
0299028 n002093
0679410 n002098
0811124 n002100
0004785 n002114
1206855 n002115
0005379 n002138
1035682 n002143
1367450 n002152
2353862 n002155
1922788 n002157
0001701 n002162
0768154 n002180
1901842 n002183
1627699 n002200
0005023 n002241
0922035 n002252
0000467 n002263
0265668 n002267
0816800 n002276
0005531 n002277
0767443 n002287
1013044 n002295
0005314 n002299
0796676 n002300
3216408 n002301
0005574 n002317
2315359 n002321
1159180 n002340
1519666 n002350
1100337 n002351
1346230 n002358
0000411 n002389
0025745 n002419
2180812 n002423
0314554 n002438
0363699 n002443
2255288 n002453
2566697 n002457
1058513 n002459
0593310 n002461
0647634 n002462
0714147 n002463
0616091 n002475
0680983 n002476
2608689 n002483
3037833 n002488
0665235 n002489
0991849 n002508
0729256 n002519
0885840 n002525
0146536 n002530
2730808 n002531
1081406 n002532
0222922 n002546
0050156 n002571
0167086 n002576
0531095 n002581
1570568 n002584
0399170 n002585
1423270 n002599
0006439 n002600
1172442 n002601
0040591 n002626
1050780 n002635
1778479 n002639
0352230 n002648
1404239 n002661
2016723 n002667
0000589 n002669
1851772 n002676
0524528 n002710
0697650 n002721
0000463 n002723
0268841 n002729
0196117 n002738
0144843 n002749
0851621 n002781
0863599 n002802
0004712 n002804
0228163 n002809
0001770 n002811
0495877 n002838
0175814 n002843
0342029 n002870
0001844 n002877
0005260 n002880
1348337 n002911
0610831 n002943
0000270 n002946
2210709 n002955
0004779 n002967
0235427 n002971
0000198 n002977
0569962 n002988
1270009 n003271
0247040 n003019
0835181 n003026
0893620 n003033
0567162 n003038
1373094 n003063
1483339 n003084
0331906 n003086
0583856 n003123
0460912 n003139
0002065 n003146
0877270 n003149
0112001 n003163
0899681 n003177
3501146 n003181
2984460 n003182
0141599 n003193
1228731 n003203
1676719 n003213
0302916 n003229
0004109 n003239
0005286 n003298
1391252 n003299
0005558 n003341
2017943 n003370
3072243 n003371
0240380 n003374
0000486 n003382
0372809 n003390
