000000 002548
000004 001470
000006 003072
000013 006637
000014 002799
000016 000301
000017 004597
000018 001847
000031 006033
000034 003555
000034 005774
000036 005104
000036 006371
000037 002680
000042 002472
000043 004371
000048 003032
000050 002750
000065 005825
000069 005550
000070 000071
000070 004385
000074 000080
000085 000655
000086 003840
000089 002556
000095 004988
000099 005934
000111 001638
000117 005688
000118 003676
000119 000886
000170 000171
000172 000173
000179 005508
000182 004376
000186 000187
000191 000192
000238 001013
000253 000261
000280 005954
000306 000307
000340 000341
000432 004283
000440 001105
000472 004833
000520 004349
000567 000568
000600 002543
000624 001359
000628 005285
000656 003542
000682 000787
000692 003517
000708 006072
000719 000720
000751 005128
000819 006359
000821 004642
000849 000850
000854 006644
000864 004025
000883 000887
000912 000915
000917 004817
000920 004591
000928 000929
000942 004749
001051 001052
001058 001083
001142 001143
001148 002670
001312 004263
001318 002358
001334 004804
001377 003251
001390 001416
001396 001397
001399 001435
001403 001429
001408 001755
001410 001391
001422 001423
001426 003498
001445 001446
001446 001445
001455 001459
001462 006014
001591 001672
001626 004851
001626 005083
000111 002279
001639 002798
001647 003091
001652 006281
001667 002356
001667 002357
001675 001682
001704 002041
001710 004820
001721 001722
001735 001761
001740 001759
001750 006315
001775 001776
001834 002577
001856 001812
001947 001948
001949 006395
001965 006136
001992 004493
002001 002002
002124 002203
002168 005542
002240 002242
002403 002404
002489 006353
002491 005899
002588 005275
002618 004805
002651 004580
002669 005884
002730 001351
002730 002753
002741 003497
002745 002796
002751 002752
002758 002759
002788 002791
002801 002802
002815 003043
002834 002855
002837 003544
002845 002873
002854 002960
002865 005721
002869 002870
002904 001608
002907 006317
002919 002921
002919 003057
002973 003031
002978 004862
002982 006319
002995 005968
002998 004460
003008 003167
003028 003029
003029 003028
003064 003301
003085 001069
003094 003099
003099 003094
003113 003196
003138 006767
003147 006167
003175 005911
003199 003200
003211 003212
003237 003246
003268 003337
003277 003278
003283 006063
003415 000107
003434 003480
003458 004500
003478 000330
003510 004526
003516 004399
003533 003534
002837 001150
003552 006193
003635 003636
003639 005454
003654 004039
003681 003682
003681 003683
003742 003743
003754 003758
003788 003787
003932 000892
004002 006372
004040 004905
004087 005592
004116 003639
004135 004261
004171 005257
004233 002412
004299 004300
004340 000308
004359 005383
004388 006511
004416 006194
004476 004477
004592 003458
004609 004610
004614 004615
004657 004658
004683 004750
004687 004689
004701 004171
004721 004965
004742 004743
004779 002236
004785 004786
004788 005829
004813 004821
004822 005215
004935 004937
005024 005031
005094 005090
005096 000288
005097 005098
005133 005134
005135 005147
005157 005158
005254 000277
005285 000628
005335 005285
005350 006478
005370 003477
005385 006708
005448 002240
005451 003833
005469 002267
005497 005498
005528 002336
005538 005580
005600 002558
005603 005609
005685 005799
005686 005704
005716 005844
005717 005284
005727 005810
005728 005729
005744 006446
005745 005747
005756 005757
005773 005795
005776 001838
001838 005777
005792 005794
005811 001518
005815 005817
005881 005882
005912 005000
005917 005918
005927 005935
006000 006061
006008 006233
006082 006085
006085 006082
006103 004146
006110 001352
006112 006164
006147 006165
006159 006160
006168 000430
006206 006205
006247 006553
006265 006266
006307 006308
006320 006321
006371 000036
006378 000049
006399 006435
006439 006496
006447 006495
006459 006509
006483 004728
006494 006519
006516 006492
006529 006543
006581 006607
006613 006647
006681 006734
006737 006738
006749 006751
